comment,label
"Aree beeke hue chutiye , tere beta beti school mein shakal kaaise dikhate h?",3
Iski bhund may 🍌,3
2 rs people,3
Are lvdu kisi aur bhi bolne dia kr🤣🤣🤣 kisi din gand pe fatte padenge @arnab.r.goswami,3
.Arnab ko,2
Juto Marte ichchhe kore...,3
Modi tere abbu haina sach bata😂,2
Kutta,3
Kyaa se kyaa ho gaye dekhte dekhte😢,2
agar is desh ke tukde karvane ho tu acha kartavye nibhayega. Godse ke bete 😂 dallllaaaa,3
Bjp ka dalla🤣🤣🤣🤣,3
Bhag chutiya,3
Arnab the gareebo ka chanderchur singh...😂😂😂,2
Fake report... Ravish se kuch sekh yr .. true journalist kya hota h,2
Gandu,3
Abey harami bhosdiwale madarchod Chaman chutie,3
Chutyeeeee😀,3
Raj thakrey aaya.... Arnab bhaag 😂😂,2
Kutta betha hai,3
@arnab.r.goswami sharam kar be ....phir se college ja bhai....,3
"Arnab be like.. ""mera studio, mere cameramen, mere computers, mera show sab kuch mera. Main kyu kisi aur ko bolne du?""😂",2
Bhai sudhar Jaa Desh dekh Raha hai tujhe.sahi news diya kar aur Jo galat ho vaah bole kar 😂😂,2
Ye wala maal fukna hai mujhe,2
😍😍😍Muh dekhna jhaat ka tareh 🔥🔥,3
Jai hind🚩,2
What about aksai chin sir.. vo b to Jammu Kashmir ka part hai.,2
ये बात हुई ना आर्मी चीफ वाली 🇮🇳🇮🇳,2
Chutiya modi gov politicise kr rhi hai army ko😠,3
"Bass yahi 1 mudda reh gaya hai kya poore India me...I know He is Army cheif but that doesnt mean humesha ladai hi socho.He would have said we will try to strengthened the ties with other neighbouring countries....Biryani khane nahi bol raha hu ja kar but We can atleast put forth the memorandum of ""No war"".",2
Modi ji ka job dene ka naya formula: Pakistan se ladai karlo or jo aam log marenge ya jo jawaan shaheed honge unki naukri unko dedo jo beroozgaar hain 👍,3
Khuli chetavni dii hai pakistan ko 😎👌,2
jai hind,2
#pkmkb trending XD,3
"Yhi baat mai itni baar sun chuki hu,,, same statement every time, mgr aaj v POK jo h wo POK hi reh gya h, kb include hoga POK n Akshai China, Akshai China k bare me koi statement tk ni aata...",2
"Yeh bichara itna pareshaan kyo hain ,Amit shah table ki neeche se kuch daba raha hain lag raha hain aise",2
Apna desh pehlay sambhal lo @narendramodi  desh kay tukray kar kay apnay hi paon par kulhari mari hy. Jab aengy phir election to phir say airstrikes karna phir say aur army bejhna Kashmir main aur rapes aur killings  RSS HINDUTVA TERRORIST EXTREMIST FASCIST @narendramodi,3
Gawar hone ke 420 saboot.,3
Shah - hum sabko nagrikta deke rhenge.Muslims-Am i a joke to you?,2
Sunolo mota bhai ko acche se😂,2
Bando Amit Shah. Modi chor ke laudu.,3
Stop making misuse of your power and please stop this brutulity. Pir sai ram mandir aur yarr aur kuch nahi hai kai country mai education sytem kaha ga ya un emplyment,3
Tadipaar tadipaar tadipaar,3
Delhi election mein gaand(jaan) gawani padegi,3
"Itna zaher , wah pata nh log kaise follow krte h isko",3
Bhedh bakriyo ke tarah janta ko maar rahe hai ye log. Are development ki baat bhi kr lo.,3
Bhadwa shah🖕🖕,3
Abe aate ke thaile phele india ki betiyo ki izzat tho bachale uske baad dosre countries ki betiyo ku lana😑,3
Dharam ke naam pe vote maangte hai ye log. #delhielections,3
Ye pgla gya hai kahta hai ki jitna mera aur tumhara desh hai utna hai muslim ko xhodh ke sab ka harami kahi ka,3
Look who's talking 😂 bekar insaan.,3
Lagta bhai doctored videos dekh ke aye hai,2
Says who? A tadipaar jisko khud samaj mei baithne ke layak nhi mana gya tha😂 MATLAB hadd hai,3
Man with golden voice👍,2
Agr public teri trha anpdh hoti to usi time panga kar chukki hoti btw shri Amit Shah jii ab public ko nhi aapko jagne ki jarurat h Ram mandir ka kaam koi nhi rukhwa rha aap he khud rukwa do to alg baat h baaki aapki soch kesi h alg baat h kaas ki aap ek padhe likhe home minister hote to aapko ye kehne ki jarurat nhi hoti aapko pta hota ki ye baat aapki ki kitni khtiya h aap ek home minister hoke ye baat kr rhe ho sayad aapko nhi pta ki home minister ka roal hota kiya h desh k ander #Anpadh hone ka saboot aap de rhe ho logo ko 👏👏,3
"I dont understand why they keep on saying it. We know CAA does not take away citizenship, NRC ka bolo na. Ya tho make a resolution that forbids you to exercise NRC in India until all opposition parties also agree with it. But dont fool people by putting forward one side of the coin.",2
"Mr.Narendran and Amit is not the india.Patrotism is towards the country.Not towards those who fuck the constitution.You will understand only if you have brain instead of CowDung that those who fight for the nation are theNationals and those who lick the boots of british and kill the Father Of Nation are AntiNationals.And wake me up when the thukde gang leaders talking about Education,Environment and Employment instead of Religion and Caste.",3
Bhadva saala,3
Kitna girega mote? Gira hua to h tu @amitshahofficial,3
Aisi baatein berojgari ko lekar bhi kar lo kabhi,2
Ye kaha se home minister lagta h... Shame on him.. Hatred faila raha h,3
Cancerous aadmi hai yeh. Shri Ram aakar once and for all inko le kyu nahi jaate.. bhagwan k naam pe khud bhagwaan ban jana theek nahi!,3
"Bhai economy, unemployment, farmers par bhi baat karle. Congress ko gaye hue 6 saal ho gaye. Last 20 saal me se 10 saal tum hi the. 😂",2
sahi to h,2
Desh virdohi nahi bjp virdohi nare lag rahe ha,3
This motu is disgrace to our country.,3
Eh chutiye,3
Gundo  ke haath me sarkar de rakhi aur ye unpad Kapil sibbal ko chalange krha he amit  shah #tadipar 🖕,3
Dekh dekh kutta bhauk raha h... Bhauke de... They cant ever talk about job opportunity education and health bs religion mandir... Aur to bhaukne ko kuch ni tera pass... 😂😂😂,3
"There are nearly 10K farmers suicide in India, 4 rapes happen at every hour, nearly 20 crore people starving everyday, more than 8 lakh children below the age of 5 dying per year and this shah is more interested in taking care of people of other country rather than our own. These are just some examples.",3
@mr__afg Haramzada’s speech,3
Abey saale...Mtlab to vhi ho tha na sabko thodi nagrikata di ja rhi hai.. India k jin garib logo k pas doc nhi hoge unko to nhi di ja rhi hai.. Mtlab unse nagrikata chhin li ja rhi hai...to ho gya na nagrikata chhin lene ka pravdhan 😒 bato ko ghuma rhe bas.. Log itne v pagal nhi hai,3
Tadipaar,3
Ram mandir se unemployment or economy theek ho jayegi.? Bass radicalisation bdhane lage hue...,3
Chutiya,3
"Yeh toh nark mei bhi sarkaar bana dega apni, shaitan ke MLA khareed ke😂😂",3
Khud sabse bda anti national hai,3
Mandir wahi banega,2
"Economy, unemployment, education, fuel price, onion prices. Iss pe thodi focus karenge.",2
"Even with CAA those people will get Citizenship , they are just bringing this to target Muslims when coupled with NRC. That's y people are protesting",2
"What about Muslims , rag pickers, people who live on roads, children left on roads , and what not , chacha?0",
Mother chod...khud anti constitutional mudda utata hai aur jab log protest kre tho jail ???? Kaisa chutiyapa hai bc.,3
or muslim log iske gar par rahenge kya?😂,2
Mandir to ban jayega aur banna bhi chaiye aasmaan choota hua.par inko jnu me nare sunai diye sirf Insha allah inshallah ?,2
Gawar😁😁,2
"Mandir banaiye, desh aage badh jayega😂",3
😂 Brut ke Gand jaal gayi,3
"The one who builts ram mandir forcibly, is not the one whom so we call ""real hindu""👌 Real hindu brother and sisters will never hurt anyone ,in fact they love everyone!",2
Ram mandir k naam se logo ko uksaa kar  unke sath CAA ki baat karte hai....to obviously log haa hi kahenge😂😂,2
"Watching his speech suddenly remind of Hitler, the same support and extremism and i hear some of them screaming ""goli maro"". This man with that level of hate one day can cause civil war in our peaceful nation. This is really dangerous for a democracy",
Matlab kuch bhi .....seriouslyyy,3
Bs dharm aur mandir ke alawa aur kuch AATA he kaha h bc,3
tadhipar saale,3
To delhi police kar kya rahi hai ..kyun nahi  saboot ikattha kar k unn logo ko arrest kar rahi h....?,2
(In Sha Allah) anti national slogan?😂😂🙄🙄 Give me thoda sa zeher...,2
Shame on this government,3
"Amit shah forgets that he is now home minister of India not a rowdy sheeter like before,so he should not use language of sadakchaap gundaas.",3
Jana bee sbko pta h desh virodhi kon h sale dharam pr rajneti krte h hm sb bhaio bheno ko bat kr,3
Abe teri sale 4 mahine mai ram mandir banane se pahile hamari sadke bana bridges jo tut gayi hai unhe repair kar aur JNU mai jo hua those students may be wrong be its ever worse to take the life of those children,3
Jumle baaz,3
Shittt !! Yaar kitna hatred speech karta hai !!,2
Kamal Ki Baat Hai Jo Hindu Desh Chhod kr Pakistan Chale gye un Ki Fikar hai But Jo Musalmaan ne esi Desh ko Chuna Osi Se Desh Ke Naagrik hone ka Suboot maang rhe hai 😒😒,2
"A tadi par minister can only say this... How many times you spoke of economy, foreign policies and development. Pathetic.1",
Itna fake information ek speech mein,2
Last wali clip me modi ki speech style copy ki ho mota bhai ne aisa lagta he..😂😂😂,2
Ram mndir to inki speech m ahi jata h..........,2
I was born as Hindu and I'll surely say Insha Allah always. Kyunki aap logon abhi bhi pata Nahi hai ki. What every gods are willing to say.,2
"Mota bhai, aap moti budddhi ke hain islie aapko mota bhai kehte hain?",3
Abhi bhi WhatsApp University se hi classes le rhe h shyd ..! Home minister sahab,2
"Na me hindu banuga ,Na me Musalman banuga... Me gobar bhakt hu sif Gadhe ki gaand banuga😂",3
Goli beta... Masti nahi...🔥😁,2
Bc itna nationalism kha lekr jaoge?,3
Jail main tere jaise chooro ko dalna chaiye bihari tadipaar motaaa,3
Kya chutiya insaan hai 😒,3
🔥mota bhai .,2
Bhai isne toh India ke baare mei kitna bura bhala kaha h ek baar bhj 52 saalo mei iss choti chaddi aur kaali topi wale ke sangh ne nagput karyala mei tiranga nhi failaya...iss mote aalu ki bori ko jail mei dalna chahiye ki nhi dalna chahiye??,3
Asman Ko chutta hua economy dikh rha meko 😅,2
"InshaAllaah everything is under his control,  no matter who the hell u r.  If he wants to STOP U he can.. Kun Faya........ 😍",3
"Tereko kon banaya re home minister ek paise ki akhal nahi hai tere paas , aate ke thaile🤣",3
Sabse pehla tho isko Daalo pm kehra hai nrc nahi hogi so yeh kyu bolra hai ki hogi yeh anti-national hai,3
Saarey anti -nationals ki fat gyi 😂😂😂😂😂😂😂,3
"Dear HOME MINISTER of INDIA 🇮🇳 , _1 phle apne desh ke bacho ko to rozgaar aur nokri dedo _2  aune kaha rakhoge _3  hamare desh ki population world me second number pe hai to apko ye khna sobha nahi deta ki me dusri country se bhai bhen bulauga...!",3
Tadeeeeeeeeepaaaaarrrrrr❌,3
Chutiya aadmi !,3
Aap jaanta to murkh samajhna band KR dijiye.,2
NRC ka bol bhai thoda🤣🤣🤣👎👎👎,2
Ye mat dhekao... Direct ye dhekao na ki khn pe lgye hain anti-national slogan... Hum bi toh sunne... Chutiya bnre jnta ko😂,3
Gunda raaj,3
Chacherre Bhai🔥,2
Chehre shahi malang,3
"Bdi jor se pressure aya , to hagne yhi baith gya🤣",3
Isko modi ke sath pack kr ke india ocean m fek aao plzzzz 🙏🏻kis ne vote dia in gawaro ko,3
Chutiyeh first lady,3
Chi chi chiii,3
Wo log bhi deshdrohi he jo hamaare Baapu Mahatma Gandhiji ko maarne waale Nathuram Godse ka samarthan karte he .,3
Tadipaar,3
@brut.india jitna rokna hai rok lo aane waale samay mein yehi desh ko superpower nhi super unemployed desh bnayenge 😑😑😑😑,3
Or jisne jnu me hue hamlo ki guarantee li use to jail ke andar ni kar paye.... Jhut hi sahi pr bola usne... Inka law & order bs inke fayde ke use hota wrna tel lene jaye baki logo ke liye.,3
Iski maa ki ankh😂😂😂😂ullu ka pattha... Gawar insan,3
"Bharat virodhi naare ab tak toh kisine nhi suna... Ye khud gaya tha sunne ya iska baap waha se sunn k aya.... I know ab bhaks bhokna start kr denge,  so for them koi toh video clip hota na bharat virodhi naare ka????",3
"Ye gunda tha , hai or rahega. Chahe HM bann jaye ya PM",3
Bhaiko kahi attack na ajaye bhokte bhokte😂,3
Kteed saala,3
Aap jo jnu ki aad m bole jaa rhe h na leaders ke against m Kabhi inn students ke profile aur post khol kar dekhiye Agr inki chalak harkato na realization na ho na tho aap bhi bohot daravne state pr ho,2
Bhaichod saala,3
amit shah me aapko bhadwa kahta hu dalal kahta hu. Aur aapki jo aulaad is par aapatti jataay he is also a dalal n bhadwa😂,3
Jhutaa 😒,3
Iske liye opposition party ko accha leader chahiye hog. But unfortunately woh hai nhi. BJP is in the power as our opposition is weak and that's why majority of people have voted for the BJP. People don't have any choice.,2
Koi Mu mein do iske bhenchod,3
@amitshahofficial  hamare hindu bhai bhi ab ap ke chutyapa ko samaj gye hai ki khali Mandir banane sa job nhi milega aur berojgari khatam nhi hogi 👎 apne to desh ki gand marli in bicharo ka bhawna ka istimal nhi kr yaar jai hind 🇮🇳,3
Agay tadipaar 💩,3
T A D I P A A R,3
Jisko jo kar na hai karo mere desh ko kuchh to yaha jitne bhi supporter hai sab k gf k insta hack karunga tab dekhunga kan deshbhakta tumhe bachane aayega😈😈😈😈😈,2
Amit Shah is the “modi chor ke lodu”,3
Behenchod yaha ke log ko jail me aur pak ke hindus ko india me wah betichod,3
In logo be Mandir aur statue  ke siwayi kiya he kya hai yaar,2
Wow in shaa Allah from takla tadipar very strange 👏👏👏👏👏👏,3
Kutay ka bacha,3
😂😂😂😂Congress  ne to oppose kiya hi nahi maine hr news channel  chan mara sirf modi jji ke tarif hi hore th sare mews chahnnel me,2
Yaar merko to public k liye zada bura lgta h wo kitni chutiya h jo iss chutiye ki baate sun rhi h or taliya baha rhi h,3
Should have done this before if it was possible but everyone is just lazy as a human,
"Paani to waste hua na bc 😒ek prblm duur krne ke liye dusri ko nyota dedo , humesha noobs ki trh kyu sochna hai yr ! Cigrette bnd mat kraao paani spray krte jao hum bhi dekhte kabtak control illogical solns se pollution !!",3
Bidi cigrette b kardwado bc adha pollution ussi ka hai,3
Permanent solution dondho na,2
"Solution ta simple hai Use less Crackers on diwali, Ravan fookna band kro, prali nu use kro Biofuel lae, Limit set kro Brick kilns di, baki cities vich Bicycle lanes and rental bicycles system shuru krdo maybe these things can help at least .....",3
"diwali k pollution se taj mahal bigdega, propaganda dekho brut india ka",3
Ye government public ko itna chutiya kyun samajhti hai ?,3
Chutiya bana Raha,3
Bc tum toh jhoot mat bolo🤦‍♂️,3
"Bhakths Be Like : ""jAi JaI mOdIjI! JaI jAi mOdIsArKaR!"" :))",2
So iske liye kiski tareef krni chahiye government se alg?,2
Bik chuka h brut @brut.india  Bhosdivaalo fake news ki limit hoti h,3
Sab Golmaal hai Bhai sab Golmaal hai 😡😡,3
"Kya ho rha hai ye.? Log itne chutiya nhi h jitni govt samjh rhi hai, 😂",3
"Ab isko Modi ka accomplishment mat bolna bhakts , please xD!!!!",2
khudki beijati krvani ki ninja technique🤣🤣,2
"🔥🔥🔥🔥 In UP no Govt officials do anything other than stealing money from public. That state should b under President rule for next 20 years to make the Govt staffs as human, as now they r just docaits🔥🔥🔥🔥",
Are yogiji bole honge,2
Vo sabko free dena chahte hai taaki india ko aur population na badhe,2
What the fuck ?? Le Lena tha naa jab free mei mil raha tha toh😑,2
Government do many welfare things but ye beech waale kabhi benefit hone nhi dete...hope a day will come when there will be direct benefit of every schemes to the people...,2
Yeh government mei ab yeh bhi hona tha😂😂😂,3
😂0,
What the fuck ?? Le Lena tha naa jab free mei mil raha tha toh😑,3
Government do many welfare things but ye beech waale kabhi benefit hone nhi dete...hope a day will come when there will be direct benefit of every schemes to the people...,3
yogiji bole hoge hindu ki sankhya badhao,3
Bauth ganda politics hai bc yea logo tak pauchta he nai hoga fir davai ka dhandha kaise chalega yea loog ka usliye yea sub fekva diya jata hai....shocked yaar 😪,2
@Mudassir yh kya masjido m bhi hona chye na chye ???,3
@shrishti_negi use karle,2
Yogiji aap bhi naaa😅😅 @myogi_adityanath,2
@nitant_jain_  ur call,
Kya chal raha hai Yeh desh mein,2
"People where feeling shy to go and purchase 1 from medical store... So govt decied to leave it in open place, where public never feels shy... Like urinating in public, agar muut sakta hai to kandum bhi utha sakta hai. #AesaDeshHaiMera.  @firoz_malik73  @aleem_fasi",3
Buddhichod public🤣,3
@mrunal_10_md  be chal bag bharke lekr aate h🙌🙌,2
Here's the acche din.. waah modi ji waah .. thoko pito fenko 👌,
Jnu me bjp ki police ko condom mil gye magar ek ladke ki lash tak abhi nahi find kar paye jis ke lye vo protest kar rahe ha bechare 🤣 or abh fees itni jyda kar di gye ha ki unko protest karna pad raha ha bewkof log bina kuch pta kye jhoot pe vishwas kar rahe ha,3
Expired honge isliye phenke Hai,2
bhai valentine day tak ruk jaate....,2
It is environmental concern why they are disposing like this,2
@qureshi_nadeem  konsa gaov hai.. chala ja 😂,2
Hamare gov employees sale chutya hai usnki hi gand me dand abhi dala to bhi kam nahi krenge,3
@_h_i_t_e_s_h_g_a_r_g_ beta jaake lele,2
Condom sanskari chiz nahi hoti... Shayd isliye,2
"@umangnagpal11  kya kehra, Unnao shift ho raha ab tu .....",2
Bhaut hi badiya😅👍 free main mil reha hain use hi ker lo... humerai therai nehi,2
@gsrajput13062020 tere peepal baba,2
INQUILAAB ZINDABAD,2
Satyagrah didn't do shit.1,
Brut India please hame azadi diloy is desh se,2
The protest now ongoing is to save our India.0,
Tukdey tukdey gang ?🤣,2
Moot pii lo friends 😂,3
Bakwas,2
Shaadi kb krre ho ? Bh****Di wale chacha 😂😂😂,3
Sahi Kiya bc elephant ne bilkul sahi salle ke Gand faati tabh akal ayi chutiya faltu Mei pange just because he is an animal,3
Madarchod log,3
Kash vo gir gaya hota,3
Utha k phekna tha sale ko,3
Us chutiye ki gend jab fati... tab asli maja aaya 😂😂😂,2
Elephant be like:tum log ko kitni baar bola hai meri gand m ungli mat kiya karo.😁😂😁😁😂,2
inko dekh dekh ke kitne rape ho rahe hai ab ispar koi bat nahi karega,3
Theres so much of hate...bjp is actually hurting us...i dont see the point of supporting them because ek trf bolte hm hindustan mai development laayege dusri trf outsiders ko citizenship dene k plan krre jb k wh iss desh mai rhne waale logo ko smbhal nai pa rhe...bahr se bula kr unemployment or kyu increase krna hai moreover its a kind of security threat pakistan apne agents ko hindu citizen bna kr bhej skta hai and they will have power to prove that as a hindu they were being oppressed in pakistan isliye india aa gye. God bless our country,2
brut.india yeh bs logo ko bevkuf banane m lage hai,3
कश्मीर में जो हुआ 1990 मे उसका क्या 😱😱,3
Nange naach lo ..caa nhi hatega,3
Are chuttiyo tum kon ho be.  Ko MERI SARKAR ko gali dene wali .. tum khud sale ghuspaithiy ho jihadi aatankwadi ..,3
One thing I APPEAL to everybody that whoever feels any video agitating or jo hamare desh k liye hanikarak h... Please just report the video .. because ye page koi SUPREME COURT ka page nhi h jo hamesha sach or facts ka sath dega,3
teh sab chutiya pa h 😏😏,3
Shayri ho gyi ho toh abb mujra bhi karlo😂,2
Tum chutiya ho bey 🤣,3
Bhenchod BJP sabse dalli government hai,3
"Jinnah vaali aazadi... Ye gazab ka nara tha... Lekin fir bhi kisi ko inme desh droh nazar nahi aata, vah",3
Chipkali wali poem dil le gayi..keedaa khati hai pankh nochti hai maans khaati hai...waah  bc waah,2
@iamnotronnie what about bhakts😁😂,2
"Akhand Chutiapa is that, They are raising Jinnah Wali Azadi slogans They are saying bas naam rahega Allah ka They are saying Hinduo ki Qabar khudegi And here few cool Hindus are supporting them in the name of secularism. 😂😂",3
Fir gaand pe dande padte hain to rote hain bsdk.....,3
"Ab media bik chuki bc .. us waqt kaha gaye te jab Kashmiri pandito ki maa baheno ki izzat luti jaa rahi thi or Media ko covered nahi karne diya gaya,, madharchodo 😡😡🚩🚩🚩",3
Jo inlogo ka oppose karta hai ya government ka support karta hai usko “ANDH BHAKT “ bolte hai ye log 😂😂 Khud ki mentality JINNA wali inki aur baat democracy aur freedom to express and spech ki karte hai 🙏🙏 Bahut badiya karr rahe ho ✌️,3
Itni fake news sunaoge public ko or koi un dudh k dhule news walo ko kuch kahe bhi nhi. Wow👏😂🤣,3
Andh bhakth kehenewale Zara apna dimag theek karke aao... kyu ki aap ka soch andhaa hein aur hamesha keliye andh prahaar hi karte reh jaaovoge... Jai Hind🙏,3
Media is main reason of violence.. godi media go back.. bikau media go back,3
Brut.india hate to tum faila rae ho.. roj 10-12 videos dalte ho jnu ya cAA pe.. kuch to sharam karo,3
Yah and @brut.india you are not biased ??😂 Abe ye “tukde honge hindustan k” ka slogan bolne wale inki taraf daari to tum bhi krte ho chutiye to tum b ho bohot bade,3
"Badi badi baatein karva lo 300 rupay fees nahi bhari jaati, aur desh bachane chale",3
Bhaiya Mahngi Gadi mein chalenge.. Kartvya chhod k bhagenge Aur logon ko gumrah krk khud ko buddhijivi bolenge🤓,3
"Ye merko lodu lagta hai bc itni badi university m koi leader nhi kya iske alawa? ""Jo ittefaq se dimaagdaar hai"" lodu",3
Bc media ko iske piche bhejna band krdo sub dange bandh ho jayege chutiya sala..,3
Bhakta can use burnol! Kanhaiyya ki baat ko galat prove krke dikhaao 😂,3
Jarur badlega.. lekin tu dekh nhi payega,2
Tu kya padha hai be.. kya padha hai tu.. tu sirf apne aap ko padha likha samajhta hai ar hum kya ghass khane gaye the school college.. tu ek padha likha trained kia hua murkh hai,3
Ye sirff Bolte reh jaega.. 😂😂 jhaat nahi ukhad paega kisi ka,3
Jahan hamare sapne pure hote hain wahan inki struggle shuru hoti hai,2
Baap🔥,2
Kaho. Na pyaar hai 🤩🤩,2
Boka choda 😂,3
Wah dilipji wah ....sab Changa si....,2
Its a ambulance Yeah checked it on internet west bengal ambulance looks like that  Chutiya bjp gawar salee or unse bhi bade chutiye unke bhakt!🖕,3
"Agar Mamata Banerjee chala gaya then this'll be the next CM of Bengal. Think before u ink, please.",2
Bhechod insaan h ya haiwan,3
Bhosdike kisiki jaan chali jayegi gandu... Ambulance hai side toh dedo.. ye saab chote gawar politicians itna chote hote hain ki bolo maat... Kudh chote soch bhi choti.. issse acha toh jaan youth hain ya normal insan karte hain... Atleast insaniyat toh hai...,3
Devotion towards job dekh rhe ho bande ka😁,2
Ab kuch Gobar bhakt enko enke name se judge karenge 🤦,3
Dakuments 🔥😂,3
,
Meri ek taang nakli hai..mai hockey ka boht bada khiladi tha..ek din uday bhai ko meri kissi baat pe gussa aaya unnhone meri he hocky stick se mere taango ke 4 tukde kr diya..lekin dil ke bade he ache hain.....:p,2
Nice promotion ...attack toh abvp ke uper bhi huwa tha unse milne kyu nhi gyi ..(no doubt she is superb actress bt not agree with her here),3
JNU = Deshdroh,3
"Kya deepika ji ko.unke film aate hk violence yad aayi hai kyaa,",3
abhi bhakt inko atankwadi bolenge sab atankwadi hai bus bjp wale desh bhakt hain,3
achi maza aayi😂😂,2
Sahi mai haad ho gayi hai.. bina padhe samje. Kuch bhi krte hai.. khete hai mera right hai protest krna .. saval krna sarkar se.. abhe tum log sirf rights ki baat krte ho.. kabhi apni duties ko pura krne ka socha hai is desh ke liye...,2
"Arey yaar, theek hai. There’s a lot more going on in the world man. Jabh zinda hi nahi bachenge ( earth is pissed) toh konsa religion konse rights?",2
Sab k sab antinational hai 🌚,3
